trait,wave_feature,beta,pval,r2,correlation,n_overlap
lightexp_winter,lead1_level2_energy,0.04726650563697784,0.7274203634120975,1.8195112022612037e-06,0.0013488925834815165,66775
lightexp_winter,lead1_level1_energy,0.0796881554341542,0.5567688017670449,5.171723393648797e-06,0.0022741423426139557,66775
lightexp_winter,lead2_level6_approx_energy,0.1261211135066681,0.3523389941372528,1.2954579883928119e-05,0.003599247127261335,66775
lightexp_winter,lead2_level6_energy,0.07827092025763344,0.5638067378363092,4.989403421196137e-06,0.0022336972537948126,66775
lightexp_winter,lead2_level5_energy,0.0064558575639716165,0.9620289449237858,3.3943423516369364e-08,0.0001842374059748939,66775
lightexp_winter,lead2_level4_energy,0.02123017028489581,0.8755929379119927,3.670749090245451e-07,0.0006058670692368971,66775
lightexp_winter,lead2_level3_energy,0.1285040888744984,0.3433152985127266,1.344874112541028e-05,0.003667252531023841,66775
lightexp_winter,lead2_level2_energy,0.20138804921186207,0.13751346702046113,3.3030498685970855e-05,0.005747216603445532,66775
lightexp_winter,lead2_level1_energy,0.18404091470374195,0.1747214272887108,2.758522347889869e-05,0.005252163695105428,66775
lightexp_winter,lead3_level6_approx_energy,0.1249243850369867,0.3569267972531769,1.2709901387020217e-05,0.0035650948637199523,66775
lightexp_winter,lead3_level6_energy,0.13353994469108127,0.32473633811630875,1.452346105901281e-05,0.0038109658957189547,66775
lightexp_winter,lead3_level5_energy,0.08177492146995458,0.5464845776968472,5.446130103226032e-06,0.002333694517906343,66775
lightexp_winter,lead3_level4_energy,0.1263516958125289,0.35145933646820715,1.3001991887140463e-05,0.0036058274902068584,66775
lightexp_winter,lead3_level3_energy,0.20200560590162717,0.13631134489842356,3.3233385413500294e-05,0.005764840449919414,66775
lightexp_winter,lead3_level2_energy,0.2008453589569213,0.13857658916410334,3.285272073250134e-05,0.005731729296944797,66775
lightexp_winter,lead3_level1_energy,0.18473652550240074,0.17309756651289449,2.779414270248637e-05,0.005272015051465601,66775
lightexp_winter,lead4_level6_approx_energy,0.08257461945900452,0.5425685131339835,5.553169151628623e-06,0.002356516316808497,66775
lightexp_winter,lead4_level6_energy,-0.031237243288463442,0.8178168193082758,7.946815664405804e-07,-0.0008914491399857588,66775
lightexp_winter,lead4_level5_energy,-0.13181986529739806,0.3310073207260569,1.41517278327008e-05,-0.0037618782319310223,66775
lightexp_winter,lead4_level4_energy,-0.0948424332375883,0.48430154089918054,7.325767236388003e-06,-0.002706615457806092,66775
lightexp_winter,lead4_level3_energy,0.007552033308486829,0.9555878085187007,4.644891038463328e-08,0.00021552009362107554,66775
lightexp_winter,lead4_level2_energy,0.15499600217586515,0.25303959735392345,1.9565400109722297e-05,0.0044232793388632756,66775
lightexp_winter,lead4_level1_energy,0.15667475986536983,0.24793588126028468,1.999152001119775e-05,0.004471187762943257,66775
lightexp_winter,lead5_level6_approx_energy,0.06801219107323295,0.6159876496405595,3.7672225148277505e-06,0.0019409334133903035,66775
lightexp_winter,lead5_level6_energy,0.04530591092514773,0.738303367886846,1.6716966564356284e-06,0.001292941088223704,66775
lightexp_winter,lead5_level5_energy,-0.035502160764613266,0.793471946782404,1.0264961213257706e-06,-0.0010131614492671762,66775
lightexp_winter,lead5_level4_energy,0.044653911230557945,0.7419343085096659,1.6239279246876848e-06,0.0012743343065161924,66775
lightexp_winter,lead5_level3_energy,0.1331400633229656,0.32618726263031694,1.4436611148527234e-05,0.003799554072389626,66775
lightexp_winter,lead5_level2_energy,0.1370954959305799,0.3120204609516805,1.5307142118725636e-05,0.0039124342956464615,66775
lightexp_winter,lead5_level1_energy,0.13401957714769,0.32300159533349126,1.462797559992346e-05,0.0038246536573759223,66775
lightexp_winter,lead6_level6_approx_energy,0.1399494989182089,0.3020542273865411,1.5951092599442163e-05,0.003993881896042695,66775
lightexp_winter,lead6_level6_energy,0.12653199830672623,0.3507724634407383,1.303912576544608e-05,0.0036109729667748473,66775
lightexp_winter,lead6_level5_energy,0.07595347924142065,0.5754065695215302,4.698325333007958e-06,0.0021675620708084915,66775
lightexp_winter,lead6_level4_energy,0.09890705315275015,0.4657723646115033,7.967136645414818e-06,0.0028226116708611206,66775
lightexp_winter,lead6_level3_energy,0.17900822468090818,0.18681007883403117,2.6097187836637836e-05,0.005108540675902345,66775
lightexp_winter,lead6_level2_energy,0.20540975906076456,0.12982995563831085,3.43629062218298e-05,0.005861988248080386,66775
lightexp_winter,lead6_level1_energy,0.18576444676053605,0.1707186387867187,2.8104310668020105e-05,0.0053013498910695995,66775
lightexp_winter,lead7_level6_approx_energy,0.11493733474246695,0.3966672644229001,1.0758952367240227e-05,0.0032800842014848466,66775
lightexp_winter,lead7_level6_energy,0.15116437440997135,0.26496122176512055,1.8610011551567496e-05,0.00431393226091825,66775
